"Cs2","cutoff.step","Power.min","SR.min","Case","n.stage1","n.stage2","n.total.trial","Ce1","Ce2","Power.min","SR.min"
0.85,2,0.9,0.65,1,17,28,197,0.9269637590928043,0.6904779535106302,0.902,0.7618
0.85,2,0.9,0.65,2,17,28,152,0.9269637590928043,0.8269134972842314,0.902,0.7313
0.85,2,0.9,0.65,3,20,34,176,0.9140332143400837,0.6550958753429124,0.9035,0.7699
0.85,2,0.9,0.65,4,20,34,142,0.9140332143400837,0.797708749330865,0.9035,0.7438
0.95,2,0.9,0.6,1,16,28,192,0.9337368392711695,0.686038144031223,0.9012,0.7552
0.95,2,0.9,0.6,2,16,28,148,0.9337368392711695,0.8280359303868586,0.9012,0.7232
0.95,2,0.9,0.6,3,16,37,180,0.9245909239196606,0.668557584943912,0.9041,0.7784
0.95,2,0.9,0.6,4,16,37,143,0.9245909239196606,0.8166126061404083,0.9041,0.7435
0.95,1,0.9,0.65,1,10,34,186,0.9277971419299568,0.686038144031223,0.9053,0.768
0.95,1,0.9,0.65,2,10,34,142,0.9277971419299568,0.8280359303868586,0.9053,0.7369
0.95,1,0.9,0.65,3,15,36,174,0.929972761705123,0.6501971556676218,0.9,0.7791
0.95,1,0.9,0.65,4,11,38,136,0.9272865669711421,0.8040454362011701,0.9039,0.756
0.9,1,0.9,0.65,1,13,31,189,0.9277971419299568,0.7452089606367841,0.903,0.702
0.9,1,0.9,0.65,2,9,36,144,0.9269637590928043,0.8215856064874447,0.907,0.748
0.9,1,0.9,0.65,3,15,36,174,0.929972761705123,0.6501971556676218,0.9,0.7791
0.9,1,0.9,0.65,4,15,36,138,0.929972761705123,0.8048625751847013,0.9,0.7464
0.9,1,0.9,0.6,1,13,31,189,0.9277971419299568,0.7452089606367841,0.903,0.702
0.9,1,0.9,0.6,2,9,36,144,0.9269637590928043,0.8215856064874447,0.907,0.748
0.9,1,0.9,0.6,3,15,36,174,0.929972761705123,0.6501971556676218,0.9,0.7791
0.9,1,0.9,0.6,4,15,36,138,0.929972761705123,0.8048625751847013,0.9,0.7464
0.85,1,0.9,0.6,1,13,31,189,0.9277971419299568,0.7452089606367841,0.903,0.702
0.85,1,0.9,0.6,2,13,31,145,0.9277971419299568,0.8341487219722654,0.903,0.7296
0.85,1,0.9,0.6,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.85,1,0.9,0.6,4,12,39,141,0.9214207276581542,0.8140197111635138,0.9052,0.7498
0.8,1,0.9,0.6,1,16,28,192,0.9337368392711695,0.686038144031223,0.9012,0.7552
0.8,1,0.9,0.6,2,12,33,147,0.9269637590928043,0.8269134972842314,0.9063,0.742
0.8,1,0.9,0.6,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.8,1,0.9,0.6,4,12,39,141,0.9214207276581542,0.8140197111635138,0.9052,0.7498
0.8,2,0.9,0.6,1,17,28,197,0.9269637590928043,0.6904779535106302,0.902,0.7618
0.8,2,0.9,0.6,2,17,28,152,0.9269637590928043,0.8269134972842314,0.902,0.7313
0.8,2,0.9,0.6,3,23,32,174,0.9052615546132449,0.6674614917722969,0.9055,0.7538
0.8,2,0.9,0.6,4,23,32,142,0.9052615546132449,0.7911183851021198,0.9055,0.7455
0.85,2,0.9,0.6,1,17,28,197,0.9269637590928043,0.6904779535106302,0.902,0.7618
0.85,2,0.9,0.6,2,17,28,152,0.9269637590928043,0.8269134972842314,0.902,0.7313
0.85,2,0.9,0.6,3,20,34,176,0.9140332143400837,0.6550958753429124,0.9035,0.7699
0.85,2,0.9,0.6,4,20,34,142,0.9140332143400837,0.797708749330865,0.9035,0.7438
0.9,2,0.9,0.6,1,15,30,195,0.9269637590928043,0.7436528540852152,0.9065,0.7082
0.9,2,0.9,0.6,2,15,30,150,0.9269637590928043,0.8331448654745471,0.9065,0.7369
0.9,2,0.9,0.6,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.9,2,0.9,0.6,4,19,35,143,0.9216819242753083,0.8061192533099064,0.9054,0.746
0.9,1,0.8,0.7,1,8,32,168,0.9269530434513199,0.6941290169245133,0.8525,0.7084
0.9,1,0.8,0.7,2,8,34,134,0.9246404354496117,0.8363315543790193,0.8707,0.7021
0.9,1,0.8,0.7,3,9,31,142,0.9334773443478674,0.6270073010230464,0.8254,0.7151
0.9,1,0.8,0.7,4,8,34,118,0.92084441351095625,0.8108449120469792,0.8556,0.7002
0.95,2,0.8,0.7,1,9,32,173,0.9090726928208004,0.6991724969700515,0.844,0.7036
0.95,2,0.8,0.7,2,10,33,139,0.9191496872547098,0.8352093002491632,0.8642,0.7014
0.95,2,0.8,0.7,3,11,31,146,0.9268321380686226,0.6567720667770026,0.8341,0.7034
0.95,2,0.8,0.7,4,15,31,123,0.9324390807139435,0.7843108944647474,0.8483,0.7041
0.85,1,0.85,0.7,1,12,28,172,0.9315938686146601,0.6941290169245133,0.8596,0.7059
0.85,1,0.85,0.7,2,12,30,138,0.9295956481195614,0.8304814669793308,0.8806,0.7005
0.85,1,0.85,0.7,3,13,31,150,0.9266732787770908,0.6833509426359642,0.8604,0.7006
0.85,1,0.85,0.7,4,13,32,122,0.9290477455724763,0.7921307999073962,0.8645,0.7044
0.9,2,0.8,0.7,1,9,32,173,0.9090726928208004,0.6991724969700515,0.844,0.7036
0.9,2,0.8,0.7,2,13,30,142,0.9191496872547098,0.8422435799048912,0.8731,0.7022
0.9,2,0.8,0.7,3,18,28,148,0.9272059266970033,0.6279099600020969,0.8411,0.701
0.9,2,0.8,0.7,4,12,33,123,0.909748406856791,0.7864066438742805,0.8415,0.7015
0.8,1,0.85,0.7,1,12,28,172,0.9315938686146601,0.6941290169245133,0.8596,0.7059
0.8,1,0.85,0.7,2,12,30,138,0.9295956481195614,0.8304814669793308,0.8806,0.7005
0.8,1,0.85,0.7,3,14,31,152,0.9178330553375675,0.6641982986966409,0.8527,0.7066
0.8,1,0.85,0.7,4,11,34,124,0.9209240456691313,0.810678741697576,0.8666,0.7102
0.85,2,0.8,0.7,1,14,27,178,0.9010205672914008,0.6933086184747874,0.8547,0.7048
0.85,2,0.8,0.7,2,13,30,142,0.9191496872547098,0.8422435799048912,0.8731,0.7022
0.85,2,0.8,0.7,3,18,28,148,0.9272059266970033,0.6279099600020969,0.8411,0.701
0.85,2,0.8,0.7,4,12,33,123,0.909748406856791,0.7864066438742805,0.8415,0.7015
0.9,1,0.85,0.7,1,8,32,168,0.9269530434513199,0.6941290169245133,0.8525,0.7084
