"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.9,0.65,"BOP2-OC",185.18,88.68,72.97,79.6,64.53,77.81, ,141.41,88.96,73.12,77.32,62.34,77.87, ,172.94,88.96,76.06,81.1,68.7,81.85, ,135.8,88.37,73.97,78.2,64.57,79
0.95,1,0.9,0.65,"Dunnett",186,97.33,36.26,90.83,33.08,37.65, ,142,96.1,35.92,87.3,31.82,37.9, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.65,"BOP2-OC",175.58,9.99,9.99,5.14,5.14,89.18, ,133.98,9.49,9.49,5.2,5.2,90.72, ,165.99,9.78,9.77,4.93,4.93,94.44, ,131.49,10.68,10.68,5.22,5.22,96.04
0.95,1,0.9,0.65,"Dunnett",189,10.01,10.01,5.01,5.01,100, ,144,10.1,10.1,5.05,5.05,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.65,"BOP2-OC",174.37,9.01,9.01,4.55,4.55,88.2, ,133.63,9.17,9.17,4.62,4.62,90.4, ,165.77,8.99,8.99,4.4,4.39,94.28, ,131.48,9.59,9.59,4.42,4.42,96.03
0.95,1,0.9,0.65,"Dunnett",189,10.01,10.01,5.01,5.01,100, ,144,10.1,10.1,5.05,5.05,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.65,"BOP2-OC",174.5,9,5.99,4.46,2.9,59.92, ,132.71,9.29,5.94,4.7,3,60.7, ,165.16,8.62,6.1,4.13,2.89,67.97, ,131.47,10.01,7.03,4.69,3.21,69.2
0.95,1,0.9,0.65,"Dunnett",189,10.01,4.96,5.01,2.46,47.29, ,144,10.1,5.2,5.05,2.54,55.95, ,174,10.05,5.11,5.03,2.57,47.56, ,136,10.06,5.18,5.05,2.54,55.96
0.95,1,0.9,0.65,"BOP2-OC",120.86,2.08, ,2.07, ,0, ,89.19,1.77, ,1.74, ,0, ,108.72,2.68, ,2.65, ,0, ,106.22,3.32, ,3.26, ,0
0.95,1,0.9,0.65,"Dunnett",189,6.9,0,6.82,0,0, ,144,7.52,0,7.31,0,0, ,174,7.32,0,7.21,0,0, ,136,7,0,6.74,0,0
0.95,1,0.9,0.65,"BOP2-OC",188.99,96.46,96.46,84.82,84.82,100, ,143.98,96.19,96.19,86.08,86.08,99.98, ,174,95.34,95.34,88.78,88.78,100, ,136,95.4,95.4,86.28,86.28,100
0.95,1,0.9,0.65,"Dunnett",189,95.54,95.54,88.85,88.85,100, ,144,95.03,95.03,84.5,84.5,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.65,"BOP2-OC",188.98,94.94,94.94,81.19,81.19,99.98, ,143.92,95.33,95.32,83.19,83.19,99.93, ,174,94.18,94.18,86.26,86.26,100, ,136,94.25,94.25,83.36,83.36,100
0.95,1,0.9,0.65,"Dunnett",189,95.54,95.54,88.85,88.85,100, ,144,95.03,95.03,84.5,84.5,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.65,"BOP2-OC",188.01,85.07,84.97,65.04,65.04,90.48, ,142.24,81.28,81.16,58.06,58.06,85.74, ,173.46,84.3,84.19,72.11,72.11,90.59, ,135.81,80.67,80.54,59.81,59.81,86.34
0.95,1,0.9,0.65,"Dunnett",189,89.92,89.92,73.78,73.78,100, ,144,87.78,87.78,57.19,57.19,99.99, ,174,87.58,87.58,66.3,66.3,100, ,136,86.56,86.56,55.56,55.56,99.98
0.95,1,0.9,0.65,"BOP2-OC",188.87,87.42,79.77,73.38,71.29,81.31, ,143.62,84.72,75.48,66.2,64.65,76.8, ,173.97,87.82,80.92,78.84,76.09,82.86, ,135.99,84.94,76.67,68.13,66.45,78.41
0.95,1,0.9,0.65,"Dunnett",189,94.16,93.17,83.3,82.67,98.78, ,144,93.88,92.29,72.36,71.7,97.78, ,174,92.24,91,79.25,78.42,98.32, ,136,92.08,90.42,69.38,68.74,97.51
0.95,1,0.9,0.65,"BOP2-OC",188.94,93.84,81.62,78.74,67.92,86.79, ,143.71,93.84,77.68,81.72,67.39,81.96, ,173.96,93.28,81.87,84.52,74,87.94, ,135.98,93.44,79.43,81.99,69.41,84.92
0.95,1,0.9,0.65,"Dunnett",189,95.54,48.72,88.85,45.71,50.79, ,144,95.03,51.57,84.5,45.47,54.58, ,174,93.75,48.44,85.65,44.84,51.07, ,136,93.56,50.62,82,43.97,54.56
0.95,1,0.9,0.65,"BOP2-OC",188.94,94.08,81.81,70.4,60.61,86.78, ,143.7,93.77,77.72,68.16,56.08,81.94, ,173.96,93.16,81.83,77.9,68.12,87.94, ,135.98,93.44,79.42,69.77,58.91,84.92
0.95,1,0.9,0.65,"Dunnett",189,95.54,48.72,83.11,42.93,50.79, ,144,95.03,51.57,72.73,38.91,54.58, ,174,93.75,48.44,79.47,41.87,51.07, ,136,93.56,50.62,69.99,37.57,54.56
0.95,1,0.9,0.65,"BOP2-OC",188.96,95.12,79.03,81.77,66.49,83.61, ,143.91,95.17,74.83,83.93,64.6,79.09, ,173.98,94.27,79.6,86.36,72.11,85.04, ,135.99,94.44,76.68,84,67,81.89
0.95,1,0.9,0.65,"Dunnett",189,97.48,32.62,93.34,31.32,33.52, ,144,97.3,36.2,90.44,32.9,37.62, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.65,"BOP2-OC",187.72,88.22,76.08,75.14,63.76,81.03, ,141.54,83.99,72,73.47,62.22,76.2, ,172.94,88.96,76.06,81.1,68.7,81.85, ,135.8,88.37,73.97,78.2,64.57,79
0.95,1,0.9,0.65,"Dunnett",189,97.48,32.62,93.34,31.32,33.52, ,144,97.3,36.2,90.44,32.9,37.62, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.6,"BOP2-OC",173.81,9.11,9.11,4.82,4.82,83.75, ,131.58,10.01,10.01,5.12,5.12,84.42, ,165.99,9.78,9.77,4.93,4.93,94.44, ,131.49,10.68,10.68,5.22,5.22,96.04
0.95,1,0.9,0.6,"Dunnett",192,10.07,10.07,5.04,5.04,100, ,147,10,10,5,5,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.6,"BOP2-OC",173.06,8.25,8.25,4.41,4.41,83.08, ,130.87,8.9,8.9,4.4,4.39,83.7, ,165.77,8.99,8.99,4.4,4.39,94.28, ,131.48,9.59,9.59,4.42,4.42,96.03
0.95,1,0.9,0.6,"Dunnett",192,10.07,10.07,5.04,5.04,100, ,147,10,10,5,5,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.6,"BOP2-OC",172.6,8.36,5.52,4.45,3.1,55.06, ,130.21,8.48,5.66,4.4,2.92,55.46, ,165.16,8.62,6.1,4.13,2.89,67.97, ,131.47,10.01,7.03,4.69,3.21,69.2
0.95,1,0.9,0.6,"Dunnett",192,10.07,5.24,5.04,2.66,55.52, ,147,10,4.82,5,2.37,47.59, ,174,10.05,5.11,5.03,2.57,47.56, ,136,10.06,5.18,5.05,2.54,55.96
0.95,1,0.9,0.6,"BOP2-OC",117.35,1.41, ,1.41, ,0, ,80.13,1.14, ,1.12, ,0, ,108.72,2.68, ,2.65, ,0, ,106.22,3.32, ,3.26, ,0
0.95,1,0.9,0.6,"Dunnett",192,6.88,0,6.7,0,0, ,147,7.07,0,6.86,0,0, ,174,7.32,0,7.21,0,0, ,136,7,0,6.74,0,0
0.95,1,0.9,0.6,"BOP2-OC",191.99,96.77,96.77,89.66,89.66,100, ,146.98,96.56,96.56,86.89,86.89,99.98, ,174,95.34,95.34,88.78,88.78,100, ,136,95.4,95.4,86.28,86.28,100
0.95,1,0.9,0.6,"Dunnett",192,95.84,95.84,87.2,87.2,100, ,147,94.85,94.85,83.88,83.88,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.6,"BOP2-OC",191.99,95.36,95.36,86.4,86.4,100, ,146.9,95.47,95.47,83.58,83.58,99.89, ,174,94.18,94.18,86.26,86.26,100, ,136,94.25,94.25,83.36,83.36,100
0.95,1,0.9,0.6,"Dunnett",192,95.84,95.84,87.2,87.2,100, ,147,94.85,94.85,83.88,83.88,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.6,"BOP2-OC",191.1,87.47,87.37,72.68,72.68,93.25, ,145.07,84.98,84.87,60.76,60.76,89.86, ,173.46,84.3,84.19,72.11,72.11,90.59, ,135.81,80.67,80.54,59.81,59.81,86.34
0.95,1,0.9,0.6,"Dunnett",192,90.33,90.33,69.22,69.22,100, ,147,88.67,88.67,59.55,59.55,100, ,174,87.58,87.58,66.3,66.3,100, ,136,86.56,86.56,55.56,55.56,99.98
0.95,1,0.9,0.6,"BOP2-OC",191.88,88.95,82.39,78.72,76.33,83.91, ,146.65,86.52,78.04,68.12,66.38,79.35, ,173.97,87.82,80.92,78.84,76.09,82.86, ,135.99,84.94,76.67,68.13,66.45,78.41
0.95,1,0.9,0.6,"Dunnett",192,94.76,93.46,83.37,82.6,98.31, ,147,92.96,91.84,69.23,68.76,98.57, ,174,92.24,91,79.25,78.42,98.32, ,136,92.08,90.42,69.38,68.74,97.51
0.95,1,0.9,0.6,"BOP2-OC",191.93,93.92,83.31,83.91,74.14,88.5, ,146.71,93.57,81.03,81.01,69.87,85.54, ,173.96,93.28,81.87,84.52,74,87.94, ,135.98,93.44,79.43,81.99,69.41,84.92
0.95,1,0.9,0.6,"Dunnett",192,95.84,52.22,87.2,47.03,54.61, ,147,94.85,48.42,83.88,43.44,50.72, ,174,93.75,48.44,85.65,44.84,51.07, ,136,93.56,50.62,82,43.97,54.56
0.95,1,0.9,0.6,"BOP2-OC",191.93,93.75,83.36,76.61,67.61,88.5, ,146.71,93.44,80.9,67.99,58.43,85.55, ,173.96,93.16,81.83,77.9,68.12,87.94, ,135.98,93.44,79.42,69.77,58.91,84.92
0.95,1,0.9,0.6,"Dunnett",192,95.84,52.22,80.97,43.35,54.61, ,147,94.85,48.42,71.59,37.56,50.72, ,174,93.75,48.44,79.47,41.87,51.07, ,136,93.56,50.62,69.99,37.57,54.56
0.95,1,0.9,0.6,"BOP2-OC",191.97,94.68,80.96,85.96,72.63,85.94, ,146.89,94.96,78.05,84.06,67.88,82.49, ,173.98,94.27,79.6,86.36,72.11,85.04, ,135.99,94.44,76.68,84,67,81.89
0.95,1,0.9,0.6,"Dunnett",192,97.82,36.02,92.38,33.37,36.96, ,147,97.05,32.73,89.5,30.24,33.64, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.6,"BOP2-OC",190.39,87.09,77.76,78.29,69.36,82.76, ,144.2,83.6,74.5,72.97,64.35,79.17, ,172.94,88.96,76.06,81.1,68.7,81.85, ,135.8,88.37,73.97,78.2,64.57,79
0.95,1,0.9,0.6,"Dunnett",192,97.82,36.02,92.38,33.37,36.96, ,147,97.05,32.73,89.5,30.24,33.64, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.6,"BOP2-OC",175.58,9.98,9.99,5.14,5.14,89.18, ,134.52,10.05,10.05,5.08,5.08,88.73, ,165.99,9.78,9.77,4.93,4.93,94.44, ,131.49,10.68,10.68,5.22,5.22,96.04
0.95,1,0.9,0.6,"Dunnett",189,10.01,10.01,5.01,5.01,100, ,145,10.04,10.04,5.06,5.06,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.6,"BOP2-OC",174.37,9.01,9.01,4.55,4.55,88.2, ,134.1,8.64,8.64,4.26,4.26,88.28, ,165.77,8.99,8.99,4.4,4.39,94.28, ,131.48,9.59,9.59,4.42,4.42,96.03
0.95,1,0.9,0.6,"Dunnett",189,10.01,10.01,5.01,5.01,100, ,145,10.04,10.04,5.06,5.06,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.6,"BOP2-OC",174.5,8.97,5.98,4.46,2.9,59.92, ,133.6,8.71,5.98,4.11,2.82,60.27, ,165.16,8.62,6.1,4.13,2.89,67.97, ,131.47,10.01,7.03,4.69,3.21,69.2
0.95,1,0.9,0.6,"Dunnett",189,10.01,4.96,5.01,2.46,47.29, ,145,10.04,5.2,5.06,2.7,55.9, ,174,10.05,5.11,5.03,2.57,47.56, ,136,10.06,5.18,5.05,2.54,55.96
0.95,1,0.9,0.6,"BOP2-OC",120.86,1.61, ,1.6, ,0, ,93.88,1.5, ,1.48, ,0, ,108.72,2.68, ,2.65, ,0, ,106.22,3.32, ,3.26, ,0
0.95,1,0.9,0.6,"Dunnett",189,6.9,0,6.82,0,0, ,145,7.11,0,6.9,0,0, ,174,7.32,0,7.21,0,0, ,136,7,0,6.74,0,0
0.95,1,0.9,0.6,"BOP2-OC",188.99,96.46,96.46,84.82,84.82,100, ,145,96.33,96.33,86.34,86.34,100, ,174,95.34,95.34,88.78,88.78,100, ,136,95.4,95.4,86.28,86.28,100
0.95,1,0.9,0.6,"Dunnett",189,95.54,95.54,88.85,88.85,100, ,145,94.21,94.21,83.91,83.91,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.6,"BOP2-OC",188.98,94.94,94.94,81.19,81.19,99.98, ,144.99,95.22,95.21,82.78,82.78,99.99, ,174,94.18,94.18,86.26,86.26,100, ,136,94.25,94.25,83.36,83.36,100
0.95,1,0.9,0.6,"Dunnett",189,95.54,95.54,88.85,88.85,100, ,145,94.21,94.21,83.91,83.91,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.6,"BOP2-OC",188.01,85.06,84.96,65.03,65.03,90.48, ,144.28,84.91,84.82,59.95,59.94,90.44, ,173.46,84.3,84.19,72.11,72.11,90.59, ,135.81,80.67,80.54,59.81,59.81,86.34
0.95,1,0.9,0.6,"Dunnett",189,89.92,89.92,73.78,73.78,100, ,145,88.5,88.5,57.09,57.09,99.99, ,174,87.58,87.58,66.3,66.3,100, ,136,86.56,86.56,55.56,55.56,99.98
0.95,1,0.9,0.6,"BOP2-OC",188.87,87.41,79.76,73.37,71.29,81.31, ,144.91,87.32,79.38,68.76,67.24,80.91, ,173.97,87.82,80.92,78.84,76.09,82.86, ,135.99,84.94,76.67,68.13,66.45,78.41
0.95,1,0.9,0.6,"Dunnett",189,94.16,93.17,83.3,82.67,98.78, ,145,92.96,91.44,71.83,71.19,97.84, ,174,92.24,91,79.25,78.42,98.32, ,136,92.08,90.42,69.38,68.74,97.51
0.95,1,0.9,0.6,"BOP2-OC",188.94,93.52,81.62,78.46,67.92,86.79, ,144.94,93.44,81.47,80.78,70.14,86.68, ,173.96,93.28,81.87,84.52,74,87.94, ,135.98,93.44,79.43,81.99,69.41,84.92
0.95,1,0.9,0.6,"Dunnett",189,95.54,48.72,88.85,45.71,50.79, ,145,94.21,51.18,83.91,45.27,54.76, ,174,93.75,48.44,85.65,44.84,51.07, ,136,93.56,50.62,82,43.97,54.56
0.95,1,0.9,0.6,"BOP2-OC",188.94,93.64,81.81,70,60.61,86.78, ,144.92,93.58,81.47,67.23,58.25,86.48, ,173.96,93.16,81.83,77.9,68.12,87.94, ,135.98,93.44,79.42,69.77,58.91,84.92
0.95,1,0.9,0.6,"Dunnett",189,95.54,48.72,83.11,42.93,50.79, ,145,94.21,51.18,72.28,38.67,54.76, ,174,93.75,48.44,79.47,41.87,51.07, ,136,93.56,50.62,69.99,37.57,54.56
0.95,1,0.9,0.6,"BOP2-OC",188.96,95.02,79.03,81.67,66.49,83.61, ,144.98,94.97,79.17,83.11,68.08,83.78, ,173.98,94.27,79.6,86.36,72.11,85.04, ,135.99,94.44,76.68,84,67,81.89
0.95,1,0.9,0.6,"Dunnett",189,97.48,32.62,93.34,31.32,33.52, ,145,96.73,36.05,89.96,32.9,37.74, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.6,"BOP2-OC",187.72,85.93,75.9,72.97,63.61,81.03, ,144.15,85.52,75.89,74.05,64.96,81.07, ,172.94,88.96,76.06,81.1,68.7,81.85, ,135.8,88.37,73.97,78.2,64.57,79
0.95,1,0.9,0.6,"Dunnett",189,97.48,32.62,93.34,31.32,33.52, ,145,96.73,36.05,89.96,32.9,37.74, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.7,"BOP2-OC",173.81,9.11,9.11,4.82,4.82,83.75, ,131.58,10.01,10.01,5.12,5.12,84.42, ,165.99,9.78,9.77,4.93,4.93,94.44, ,131.49,10.68,10.68,5.22,5.22,96.04
0.95,1,0.9,0.7,"Dunnett",192,10.07,10.07,5.04,5.04,100, ,147,10,10,5,5,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.7,"BOP2-OC",173.06,8.25,8.25,4.41,4.41,83.08, ,130.87,8.9,8.9,4.4,4.39,83.7, ,165.77,8.99,8.99,4.4,4.39,94.28, ,131.48,9.59,9.59,4.42,4.42,96.03
0.95,1,0.9,0.7,"Dunnett",192,10.07,10.07,5.04,5.04,100, ,147,10,10,5,5,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.7,"BOP2-OC",172.6,8.36,5.52,4.45,3.1,55.06, ,130.21,8.48,5.66,4.4,2.92,55.46, ,165.16,8.62,6.1,4.13,2.89,67.97, ,131.47,10.01,7.03,4.69,3.21,69.2
0.95,1,0.9,0.7,"Dunnett",192,10.07,5.24,5.04,2.66,55.52, ,147,10,4.82,5,2.37,47.59, ,174,10.05,5.11,5.03,2.57,47.56, ,136,10.06,5.18,5.05,2.54,55.96
0.95,1,0.9,0.7,"BOP2-OC",117.35,1.41, ,1.41, ,0, ,80.13,1.14, ,1.12, ,0, ,108.72,2.68, ,2.65, ,0, ,106.22,3.32, ,3.26, ,0
0.95,1,0.9,0.7,"Dunnett",192,6.88,0,6.7,0,0, ,147,7.07,0,6.86,0,0, ,174,7.32,0,7.21,0,0, ,136,7,0,6.74,0,0
0.95,1,0.9,0.7,"BOP2-OC",191.99,96.77,96.77,89.66,89.66,100, ,146.98,96.56,96.56,86.89,86.89,99.98, ,174,95.34,95.34,88.78,88.78,100, ,136,95.4,95.4,86.28,86.28,100
0.95,1,0.9,0.7,"Dunnett",192,95.84,95.84,87.2,87.2,100, ,147,94.85,94.85,83.88,83.88,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.7,"BOP2-OC",191.99,95.36,95.36,86.4,86.4,100, ,146.9,95.47,95.47,83.58,83.58,99.89, ,174,94.18,94.18,86.26,86.26,100, ,136,94.25,94.25,83.36,83.36,100
0.95,1,0.9,0.7,"Dunnett",192,95.84,95.84,87.2,87.2,100, ,147,94.85,94.85,83.88,83.88,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.7,"BOP2-OC",191.1,87.47,87.37,72.68,72.68,93.25, ,145.07,84.98,84.87,60.76,60.76,89.86, ,173.46,84.3,84.19,72.11,72.11,90.59, ,135.81,80.67,80.54,59.81,59.81,86.34
0.95,1,0.9,0.7,"Dunnett",192,90.33,90.33,69.22,69.22,100, ,147,88.67,88.67,59.55,59.55,100, ,174,87.58,87.58,66.3,66.3,100, ,136,86.56,86.56,55.56,55.56,99.98
0.95,1,0.9,0.7,"BOP2-OC",191.88,88.95,82.39,78.72,76.33,83.91, ,146.65,86.52,78.04,68.12,66.38,79.35, ,173.97,87.82,80.92,78.84,76.09,82.86, ,135.99,84.94,76.67,68.13,66.45,78.41
0.95,1,0.9,0.7,"Dunnett",192,94.76,93.46,83.37,82.6,98.31, ,147,92.96,91.84,69.23,68.76,98.57, ,174,92.24,91,79.25,78.42,98.32, ,136,92.08,90.42,69.38,68.74,97.51
0.95,1,0.9,0.7,"BOP2-OC",191.93,93.92,83.31,83.91,74.14,88.5, ,146.71,93.57,81.03,81.01,69.87,85.54, ,173.96,93.28,81.87,84.52,74,87.94, ,135.98,93.44,79.43,81.99,69.41,84.92
0.95,1,0.9,0.7,"Dunnett",192,95.84,52.22,87.2,47.03,54.61, ,147,94.85,48.42,83.88,43.44,50.72, ,174,93.75,48.44,85.65,44.84,51.07, ,136,93.56,50.62,82,43.97,54.56
0.95,1,0.9,0.7,"BOP2-OC",191.93,93.75,83.36,76.61,67.61,88.5, ,146.71,93.44,80.9,67.99,58.43,85.55, ,173.96,93.16,81.83,77.9,68.12,87.94, ,135.98,93.44,79.42,69.77,58.91,84.92
0.95,1,0.9,0.7,"Dunnett",192,95.84,52.22,80.97,43.35,54.61, ,147,94.85,48.42,71.59,37.56,50.72, ,174,93.75,48.44,79.47,41.87,51.07, ,136,93.56,50.62,69.99,37.57,54.56
0.95,1,0.9,0.7,"BOP2-OC",191.97,94.68,80.96,85.96,72.63,85.94, ,146.89,94.96,78.05,84.06,67.88,82.49, ,173.98,94.27,79.6,86.36,72.11,85.04, ,135.99,94.44,76.68,84,67,81.89
0.95,1,0.9,0.7,"Dunnett",192,97.82,36.02,92.38,33.37,36.96, ,147,97.05,32.73,89.5,30.24,33.64, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.7,"BOP2-OC",190.39,87.09,77.76,78.29,69.36,82.76, ,144.2,83.6,74.5,72.97,64.35,79.17, ,172.94,88.96,76.06,81.1,68.7,81.85, ,135.8,88.37,73.97,78.2,64.57,79
0.95,1,0.9,0.7,"Dunnett",192,97.82,36.02,92.38,33.37,36.96, ,147,97.05,32.73,89.5,30.24,33.64, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.65,"BOP2-OC",175.58,9.98,9.99,5.14,5.14,89.18, ,134.52,10.05,10.05,5.08,5.08,88.73, ,165.99,9.78,9.77,4.93,4.93,94.44, ,131.49,10.68,10.68,5.22,5.22,96.04
0.95,1,0.9,0.65,"Dunnett",189,10.01,10.01,5.01,5.01,100, ,145,10.04,10.04,5.06,5.06,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.65,"BOP2-OC",174.37,9.01,9.01,4.55,4.55,88.2, ,134.1,8.64,8.64,4.26,4.26,88.28, ,165.77,8.99,8.99,4.4,4.39,94.28, ,131.48,9.59,9.59,4.42,4.42,96.03
0.95,1,0.9,0.65,"Dunnett",189,10.01,10.01,5.01,5.01,100, ,145,10.04,10.04,5.06,5.06,100, ,174,10.05,10.05,5.03,5.03,100, ,136,10.06,10.06,5.05,5.05,100
0.95,1,0.9,0.65,"BOP2-OC",174.5,8.97,5.98,4.46,2.9,59.92, ,133.6,8.71,5.98,4.11,2.82,60.27, ,165.16,8.62,6.1,4.13,2.89,67.97, ,131.47,10.01,7.03,4.69,3.21,69.2
0.95,1,0.9,0.65,"Dunnett",189,10.01,4.96,5.01,2.46,47.29, ,145,10.04,5.2,5.06,2.7,55.9, ,174,10.05,5.11,5.03,2.57,47.56, ,136,10.06,5.18,5.05,2.54,55.96
0.95,1,0.9,0.65,"BOP2-OC",120.86,1.61, ,1.6, ,0, ,93.88,1.5, ,1.48, ,0, ,108.72,2.68, ,2.65, ,0, ,106.22,3.32, ,3.26, ,0
0.95,1,0.9,0.65,"Dunnett",189,6.9,0,6.82,0,0, ,145,7.11,0,6.9,0,0, ,174,7.32,0,7.21,0,0, ,136,7,0,6.74,0,0
0.95,1,0.9,0.65,"BOP2-OC",188.99,96.46,96.46,84.82,84.82,100, ,145,96.33,96.33,86.34,86.34,100, ,174,95.34,95.34,88.78,88.78,100, ,136,95.4,95.4,86.28,86.28,100
0.95,1,0.9,0.65,"Dunnett",189,95.54,95.54,88.85,88.85,100, ,145,94.21,94.21,83.91,83.91,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.65,"BOP2-OC",188.98,94.94,94.94,81.19,81.19,99.98, ,144.99,95.22,95.21,82.78,82.78,99.99, ,174,94.18,94.18,86.26,86.26,100, ,136,94.25,94.25,83.36,83.36,100
0.95,1,0.9,0.65,"Dunnett",189,95.54,95.54,88.85,88.85,100, ,145,94.21,94.21,83.91,83.91,100, ,174,93.75,93.75,85.65,85.65,100, ,136,93.56,93.56,82,82,100
0.95,1,0.9,0.65,"BOP2-OC",188.01,85.06,84.96,65.03,65.03,90.48, ,144.28,84.91,84.82,59.95,59.94,90.44, ,173.46,84.3,84.19,72.11,72.11,90.59, ,135.81,80.67,80.54,59.81,59.81,86.34
0.95,1,0.9,0.65,"Dunnett",189,89.92,89.92,73.78,73.78,100, ,145,88.5,88.5,57.09,57.09,99.99, ,174,87.58,87.58,66.3,66.3,100, ,136,86.56,86.56,55.56,55.56,99.98
0.95,1,0.9,0.65,"BOP2-OC",188.87,87.41,79.76,73.37,71.29,81.31, ,144.91,87.32,79.38,68.76,67.24,80.91, ,173.97,87.82,80.92,78.84,76.09,82.86, ,135.99,84.94,76.67,68.13,66.45,78.41
0.95,1,0.9,0.65,"Dunnett",189,94.16,93.17,83.3,82.67,98.78, ,145,92.96,91.44,71.83,71.19,97.84, ,174,92.24,91,79.25,78.42,98.32, ,136,92.08,90.42,69.38,68.74,97.51
0.95,1,0.9,0.65,"BOP2-OC",188.94,93.52,81.62,78.46,67.92,86.79, ,144.94,93.44,81.47,80.78,70.14,86.68, ,173.96,93.28,81.87,84.52,74,87.94, ,135.98,93.44,79.43,81.99,69.41,84.92
0.95,1,0.9,0.65,"Dunnett",189,95.54,48.72,88.85,45.71,50.79, ,145,94.21,51.18,83.91,45.27,54.76, ,174,93.75,48.44,85.65,44.84,51.07, ,136,93.56,50.62,82,43.97,54.56
0.95,1,0.9,0.65,"BOP2-OC",188.94,93.64,81.81,70,60.61,86.78, ,144.92,93.58,81.47,67.23,58.25,86.48, ,173.96,93.16,81.83,77.9,68.12,87.94, ,135.98,93.44,79.42,69.77,58.91,84.92
0.95,1,0.9,0.65,"Dunnett",189,95.54,48.72,83.11,42.93,50.79, ,145,94.21,51.18,72.28,38.67,54.76, ,174,93.75,48.44,79.47,41.87,51.07, ,136,93.56,50.62,69.99,37.57,54.56
0.95,1,0.9,0.65,"BOP2-OC",188.96,95.02,79.03,81.67,66.49,83.61, ,144.98,94.97,79.17,83.11,68.08,83.78, ,173.98,94.27,79.6,86.36,72.11,85.04, ,135.99,94.44,76.68,84,67,81.89
0.95,1,0.9,0.65,"Dunnett",189,97.48,32.62,93.34,31.32,33.52, ,145,96.73,36.05,89.96,32.9,37.74, ,174,96.36,33.27,91.11,31.49,34.51, ,136,96.25,35.91,88.26,32.26,37.73
0.95,1,0.9,0.65,"BOP2-OC",187.72,85.93,75.9,72.97,63.61,81.03, ,144.15,85.52,75.89,74.05,64.96,81.07, ,172.94,88.96,76.06,81.1,68.7,81.85, ,135.8,88.37,73.97,78.2,64.57,79
