"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.8,0.65,"BOP2-OC",146.74,87.39,67.93,74.51,56.66,75.09, ,108.5,85.31,65.76,74.16,56.05,72.17, ,131.33,84.66,67.76,72.75,56.99,77.81, ,102.02,82.97,65.9,71.82,56.13,75.09
0.95,1,0.8,0.65,"Dunnett",148,94.48,36.86,85.95,32.63,39.75, ,112,94.57,37.84,81.39,31.52,40.63, ,132,91.26,36.9,83.1,32.8,41.42, ,103,91.18,33.92,80.66,30.41,36.74
0.95,1,0.8,0.6,"BOP2-OC",128.74,8.89,8.89,4.86,4.86,91.02, ,98.6,8.89,8.89,5.17,5.17,90.72, ,119.94,9.6,9.6,4.78,4.78,91.02, ,94.21,9.83,9.83,5.12,5.12,90.72
0.95,1,0.8,0.6,"Dunnett",137,10.17,10.17,5.11,5.11,100, ,105,10.1,10.1,5.06,5.06,100, ,130,10.03,10.03,5.02,5.02,100, ,102,10,10,5.03,5.03,100
0.95,1,0.8,0.6,"BOP2-OC",127.92,8.37,8.37,4.35,4.35,90.12, ,98.38,8.22,8.22,4.3,4.31,90.4, ,118.94,9.29,9.29,4.35,4.35,90.12, ,93.94,8.84,8.84,4.32,4.32,90.4
0.95,1,0.8,0.6,"Dunnett",137,10.17,10.17,5.11,5.11,100, ,105,10.1,10.1,5.06,5.06,100, ,130,10.03,10.03,5.02,5.02,100, ,102,10,10,5.03,5.03,100
0.95,1,0.8,0.6,"BOP2-OC",127.93,8.2,5.37,4.33,2.84,60.46, ,97.79,8.37,5.3,4.47,2.81,60.7, ,118.96,9,5.96,4.3,2.92,60.46, ,93.22,9.32,5.96,4.78,3.12,60.7
0.95,1,0.8,0.6,"Dunnett",137,10.17,5.3,5.11,2.65,56.38, ,105,10.1,5.06,5.06,2.54,56.28, ,130,10.03,5.18,5.02,2.56,56.28, ,102,10,5.07,5.03,2.51,56.71
0.95,1,0.8,0.6,"BOP2-OC",90.63,1.93, ,1.9, ,0, ,69.98,2.02, ,1.98, ,0, ,73.55,2.44, ,2.37, ,0, ,59.37,2.46, ,2.39, ,0
0.95,1,0.8,0.6,"Dunnett",137,7.14,0,6.92,0,0, ,105,7.39,0,7.07,0,0, ,130,7.58,0,7.36,0,0, ,102,7.13,0,6.83,0,0
0.95,1,0.8,0.6,"BOP2-OC",136.99,91.27,91.27,77.77,77.77,99.99, ,104.99,91.35,91.35,79.29,79.28,99.98, ,129.99,89.33,89.33,79.16,79.16,99.99, ,101.98,89.59,89.58,78.55,78.55,99.98
